<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MOEX.QGDO:TQBR;60;07/12/20;19:00:00;3479.5000000;3481.0000000;3351.5000000;3417.0000000;85945
MOEX.QGDO:TQBR;60;07/12/20;20:00:00;3429.5000000;3508.5000000;3420.0000000;3495.5000000;30043
MOEX.QGDO:TQBR;60;07/12/20;21:00:00;3495.0000000;3505.0000000;3480.0000000;3492.5000000;15815
MOEX.QGDO:TQBR;60;07/12/20;22:00:00;3492.5000000;3505.0000000;3482.0000000;3482.5000000;7104
MOEX.QGDO:TQBR;60;07/12/20;23:00:00;3482.5000000;3482.5000000;3441.0000000;3454.0000000;10561
MOEX.QGDO:TQBR;60;08/12/20;00:00:00;3453.5000000;3453.5000000;3411.5000000;3422.0000000;13411
MOEX.QGDO:TQBR;60;08/12/20;11:00:00;3429.5000000;3495.0000000;3425.0000000;3459.0000000;30490
MOEX.QGDO:TQBR;60;08/12/20;12:00:00;3459.0000000;3460.0000000;3420.0000000;3437.0000000;12824
MOEX.QGDO:TQBR;60;08/12/20;13:00:00;3437.0000000;3440.0000000;3390.5000000;3390.5000000;11344
MOEX.QGDO:TQBR;60;08/12/20;14:00:00;3390.0000000;3404.0000000;3333.0000000;3335.0000000;32127
MOEX.QGDO:TQBR;60;08/12/20;15:00:00;3333.0000000;3367.0000000;3260.0000000;3360.0000000;61333
MOEX.QGDO:TQBR;60;08/12/20;16:00:00;3364.0000000;3390.0000000;3350.0000000;3361.5000000;14309
MOEX.QGDO:TQBR;60;08/12/20;17:00:00;3364.0000000;3375.0000000;3350.0000000;3360.0000000;12988
MOEX.QGDO:TQBR;60;08/12/20;18:00:00;3360.0000000;3460.0000000;3310.5000000;3448.0000000;70350
MOEX.QGDO:TQBR;60;08/12/20;19:00:00;3447.5000000;3458.0000000;3370.0000000;3384.0000000;24816
MOEX.QGDO:TQBR;60;08/12/20;20:00:00;3384.0000000;3419.5000000;3362.5000000;3413.0000000;10976
MOEX.QGDO:TQBR;60;08/12/20;21:00:00;3413.0000000;3447.5000000;3410.0000000;3422.5000000;10988
MOEX.QGDO:TQBR;60;08/12/20;22:00:00;3422.5000000;3422.5000000;3380.0000000;3400.0000000;6747
MOEX.QGDO:TQBR;60;08/12/20;23:00:00;3400.0000000;3414.0000000;3385.0000000;3402.0000000;4941
MOEX.QGDO:TQBR;60;09/12/20;00:00:00;3402.0000000;3485.0000000;3400.0000000;3471.0000000;15939
MOEX.QGDO:TQBR;60;09/12/20;11:00:00;3513.5000000;3545.5000000;3490.0000000;3523.0000000;42723
MOEX.QGDO:TQBR;60;09/12/20;12:00:00;3524.5000000;3543.0000000;3506.0000000;3528.5000000;21105
MOEX.QGDO:TQBR;60;09/12/20;13:00:00;3529.0000000;3580.0000000;3520.0000000;3575.5000000;27256
MOEX.QGDO:TQBR;60;09/12/20;14:00:00;3577.0000000;3600.0000000;3562.0000000;3577.5000000;36928
MOEX.QGDO:TQBR;60;09/12/20;15:00:00;3578.0000000;3585.0000000;3520.0000000;3545.0000000;27146
MOEX.QGDO:TQBR;60;09/12/20;16:00:00;3544.5000000;3560.5000000;3534.0000000;3535.0000000;12511
MOEX.QGDO:TQBR;60;09/12/20;17:00:00;3535.0000000;3552.5000000;3534.5000000;3548.0000000;10625
MOEX.QGDO:TQBR;60;09/12/20;18:00:00;3547.0000000;3593.0000000;3506.0000000;3538.5000000;52600
MOEX.QGDO:TQBR;60;09/12/20;19:00:00;3539.5000000;3541.0000000;3516.0000000;3530.0000000;9140
MOEX.QGDO:TQBR;60;09/12/20;20:00:00;3530.0000000;3530.0000000;3425.5000000;3438.0000000;30920
MOEX.QGDO:TQBR;60;09/12/20;21:00:00;3438.0000000;3442.5000000;3361.0000000;3401.5000000;59078
