<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
ARSF-RM;60;19/11/20;15:00:00;16150.0000000;16150.0000000;16120.0000000;16131.0000000;17
ARSF-RM;60;19/11/20;16:00:00;16140.0000000;16141.0000000;16105.0000000;16107.0000000;22
ARSF-RM;60;19/11/20;17:00:00;16155.0000000;16155.0000000;16107.0000000;16107.0000000;5
ARSF-RM;60;19/11/20;18:00:00;16169.0000000;16197.0000000;16079.0000000;16197.0000000;119
ARSF-RM;60;19/11/20;19:00:00;16210.0000000;16229.0000000;16050.0000000;16050.0000000;58
ARSF-RM;60;19/11/20;20:00:00;16128.0000000;16137.0000000;16090.0000000;16118.0000000;27
ARSF-RM;60;19/11/20;21:00:00;16200.0000000;16227.0000000;16153.0000000;16153.0000000;125
ARSF-RM;60;19/11/20;22:00:00;16160.0000000;16217.0000000;16123.0000000;16217.0000000;104
ARSF-RM;60;19/11/20;23:00:00;16185.0000000;16225.0000000;16177.0000000;16225.0000000;9
ARSF-RM;60;20/11/20;00:00:00;16185.0000000;16185.0000000;16177.0000000;16177.0000000;6
ARSF-RM;60;20/11/20;11:00:00;16102.0000000;16229.0000000;16102.0000000;16229.0000000;20
ARSF-RM;60;20/11/20;12:00:00;16219.0000000;16242.0000000;16199.0000000;16211.0000000;72
ARSF-RM;60;20/11/20;13:00:00;16211.0000000;16240.0000000;16211.0000000;16240.0000000;12
ARSF-RM;60;20/11/20;14:00:00;16260.0000000;16260.0000000;16205.0000000;16233.0000000;75
ARSF-RM;60;20/11/20;15:00:00;16233.0000000;16233.0000000;16227.0000000;16227.0000000;3
ARSF-RM;60;20/11/20;16:00:00;16227.0000000;16227.0000000;16227.0000000;16227.0000000;2
ARSF-RM;60;20/11/20;17:00:00;16224.0000000;16230.0000000;16209.0000000;16209.0000000;25
ARSF-RM;60;20/11/20;18:00:00;16209.0000000;16209.0000000;16109.0000000;16167.0000000;145
ARSF-RM;60;20/11/20;19:00:00;16160.0000000;16178.0000000;16135.0000000;16178.0000000;48
ARSF-RM;60;20/11/20;20:00:00;16170.0000000;16236.0000000;16170.0000000;16170.0000000;41
ARSF-RM;60;20/11/20;21:00:00;16179.0000000;16186.0000000;16154.0000000;16176.0000000;74
ARSF-RM;60;20/11/20;22:00:00;16176.0000000;16176.0000000;16154.0000000;16168.0000000;16
ARSF-RM;60;20/11/20;23:00:00;16189.0000000;16201.0000000;16189.0000000;16190.0000000;8
ARSF-RM;60;21/11/20;00:00:00;16190.0000000;16190.0000000;16109.0000000;16109.0000000;56
ARSF-RM;60;23/11/20;11:00:00;16037.0000000;16115.0000000;16037.0000000;16089.0000000;128
ARSF-RM;60;23/11/20;12:00:00;16065.0000000;16076.0000000;16000.0000000;16017.0000000;179
ARSF-RM;60;23/11/20;13:00:00;16031.0000000;16078.0000000;16017.0000000;16046.0000000;89
ARSF-RM;60;23/11/20;14:00:00;16046.0000000;16069.0000000;16033.0000000;16063.0000000;165
ARSF-RM;60;23/11/20;15:00:00;16063.0000000;16063.0000000;16010.0000000;16016.0000000;122
ARSF-RM;60;23/11/20;16:00:00;16016.0000000;16016.0000000;15995.0000000;16006.0000000;57
ARSF-RM;60;23/11/20;17:00:00;16034.0000000;16034.0000000;15995.0000000;15995.0000000;61
ARSF-RM;60;23/11/20;18:00:00;15995.0000000;16147.0000000;15993.0000000;16111.0000000;257
ARSF-RM;60;23/11/20;19:00:00;16133.0000000;16133.0000000;15949.0000000;16024.0000000;63
ARSF-RM;60;23/11/20;20:00:00;16025.0000000;16025.0000000;15900.0000000;15905.0000000;109
ARSF-RM;60;23/11/20;21:00:00;15910.0000000;15991.0000000;15901.0000000;15968.0000000;157
ARSF-RM;60;23/11/20;22:00:00;16003.0000000;16020.0000000;15973.0000000;15973.0000000;20
ARSF-RM;60;23/11/20;23:00:00;15996.0000000;15996.0000000;15973.0000000;15978.0000000;79
ARSF-RM;60;24/11/20;00:00:00;16016.0000000;16017.0000000;16016.0000000;16017.0000000;11
ARSF-RM;60;24/11/20;11:00:00;16064.0000000;16100.0000000;16025.0000000;16098.0000000;68
ARSF-RM;60;24/11/20;12:00:00;16055.0000000;16055.0000000;16000.0000000;16025.0000000;49
ARSF-RM;60;24/11/20;13:00:00;16065.0000000;16065.0000000;16000.0000000;16051.0000000;44
ARSF-RM;60;24/11/20;14:00:00;16026.0000000;16027.0000000;15993.0000000;16026.0000000;39
ARSF-RM;60;24/11/20;15:00:00;16025.0000000;16030.0000000;16000.0000000;16030.0000000;46
ARSF-RM;60;24/11/20;16:00:00;16020.0000000;16031.0000000;15990.0000000;16013.0000000;85
ARSF-RM;60;24/11/20;17:00:00;16013.0000000;16044.0000000;15990.0000000;16021.0000000;37
ARSF-RM;60;24/11/20;18:00:00;16043.0000000;16043.0000000;15892.0000000;15892.0000000;122
ARSF-RM;60;24/11/20;19:00:00;15900.0000000;16033.0000000;15851.0000000;16020.0000000;185
ARSF-RM;60;24/11/20;20:00:00;16000.0000000;16080.0000000;16000.0000000;16080.0000000;80
ARSF-RM;60;24/11/20;21:00:00;16050.0000000;16152.0000000;16050.0000000;16149.0000000;75
ARSF-RM;60;24/11/20;22:00:00;16149.0000000;16180.0000000;16133.0000000;16180.0000000;45
ARSF-RM;60;24/11/20;23:00:00;16180.0000000;16180.0000000;16111.0000000;16111.0000000;21
ARSF-RM;60;25/11/20;00:00:00;16092.0000000;16092.0000000;16088.0000000;16088.0000000;32
ARSF-RM;60;25/11/20;11:00:00;16169.0000000;16200.0000000;16169.0000000;16180.0000000;55
ARSF-RM;60;25/11/20;12:00:00;16180.0000000;16190.0000000;16119.0000000;16119.0000000;48
ARSF-RM;60;25/11/20;13:00:00;16128.0000000;16188.0000000;16128.0000000;16137.0000000;21
ARSF-RM;60;25/11/20;14:00:00;16140.0000000;16210.0000000;16139.0000000;16210.0000000;73
ARSF-RM;60;25/11/20;15:00:00;16211.0000000;16250.0000000;16197.0000000;16237.0000000;23
ARSF-RM;60;25/11/20;16:00:00;16237.0000000;16237.0000000;16205.0000000;16216.0000000;23
ARSF-RM;60;25/11/20;17:00:00;16230.0000000;16259.0000000;16210.0000000;16256.0000000;39
ARSF-RM;60;25/11/20;18:00:00;16256.0000000;16300.0000000;16205.0000000;16205.0000000;72
ARSF-RM;60;25/11/20;19:00:00;16227.0000000;16247.0000000;16190.0000000;16215.0000000;29
ARSF-RM;60;25/11/20;20:00:00;16231.0000000;16231.0000000;16119.0000000;16151.0000000;76
ARSF-RM;60;25/11/20;21:00:00;16142.0000000;16150.0000000;16142.0000000;16150.0000000;16
ARSF-RM;60;25/11/20;22:00:00;16170.0000000;16175.0000000;16149.0000000;16175.0000000;11
ARSF-RM;60;25/11/20;23:00:00;16170.0000000;16170.0000000;16149.0000000;16149.0000000;3
ARSF-RM;60;26/11/20;00:00:00;16180.0000000;16180.0000000;16179.0000000;16180.0000000;6
ARSF-RM;60;27/11/20;11:00:00;16246.0000000;16320.0000000;16242.0000000;16289.0000000;88
ARSF-RM;60;27/11/20;12:00:00;16315.0000000;16316.0000000;16286.0000000;16286.0000000;79
ARSF-RM;60;27/11/20;13:00:00;16286.0000000;16315.0000000;16286.0000000;16315.0000000;5
ARSF-RM;60;27/11/20;14:00:00;16316.0000000;16316.0000000;16300.0000000;16307.0000000;65
ARSF-RM;60;27/11/20;15:00:00;16307.0000000;16370.0000000;16305.0000000;16370.0000000;71
ARSF-RM;60;27/11/20;16:00:00;16355.0000000;16370.0000000;16350.0000000;16360.0000000;57
ARSF-RM;60;27/11/20;17:00:00;16370.0000000;16373.0000000;16360.0000000;16360.0000000;52
ARSF-RM;60;27/11/20;18:00:00;16355.0000000;16361.0000000;16286.0000000;16297.0000000;114
ARSF-RM;60;27/11/20;19:00:00;16337.0000000;16423.0000000;16315.0000000;16412.0000000;113
ARSF-RM;60;27/11/20;20:00:00;16412.0000000;16418.0000000;16367.0000000;16367.0000000;41
ARSF-RM;60;27/11/20;21:00:00;16351.0000000;16390.0000000;16328.0000000;16350.0000000;172
ARSF-RM;60;27/11/20;22:00:00;16341.0000000;16384.0000000;16341.0000000;16384.0000000;3
ARSF-RM;60;27/11/20;23:00:00;16385.0000000;16385.0000000;16376.0000000;16376.0000000;7
