<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
NDMS-RM;60;22/09/20;13:00:00;8449.0000000;8475.0000000;8300.0000000;8475.0000000;1185
NDMS-RM;60;22/09/20;14:00:00;8475.0000000;8475.0000000;8437.0000000;8451.0000000;422
NDMS-RM;60;22/09/20;15:00:00;8451.0000000;8495.0000000;8435.0000000;8435.0000000;2171
NDMS-RM;60;22/09/20;16:00:00;8436.0000000;8524.0000000;8435.0000000;8515.0000000;1374
NDMS-RM;60;22/09/20;17:00:00;8515.0000000;8554.0000000;8383.0000000;8471.0000000;2952
NDMS-RM;60;22/09/20;18:00:00;8475.0000000;8503.0000000;8361.0000000;8369.0000000;2656
NDMS-RM;60;22/09/20;19:00:00;8350.0000000;8407.0000000;8342.0000000;8385.0000000;408
NDMS-RM;60;22/09/20;20:00:00;8401.0000000;8425.0000000;8362.0000000;8362.0000000;2604
NDMS-RM;60;22/09/20;21:00:00;8390.0000000;8424.0000000;8371.0000000;8420.0000000;2925
NDMS-RM;60;22/09/20;22:00:00;8424.0000000;8492.0000000;8424.0000000;8450.0000000;503
NDMS-RM;60;22/09/20;23:00:00;8452.0000000;8550.0000000;8450.0000000;8520.0000000;1169
NDMS-RM;60;23/09/20;00:00:00;8500.0000000;8500.0000000;8475.0000000;8481.0000000;177
NDMS-RM;60;23/09/20;11:00:00;8505.0000000;8533.0000000;8471.0000000;8520.0000000;541
NDMS-RM;60;23/09/20;12:00:00;8520.0000000;8555.0000000;8490.0000000;8550.0000000;825
NDMS-RM;60;23/09/20;13:00:00;8551.0000000;8589.0000000;8551.0000000;8583.0000000;825
NDMS-RM;60;23/09/20;14:00:00;8583.0000000;8590.0000000;8553.0000000;8578.0000000;183
NDMS-RM;60;23/09/20;15:00:00;8578.0000000;8590.0000000;8525.0000000;8555.0000000;796
NDMS-RM;60;23/09/20;16:00:00;8550.0000000;8588.0000000;8534.0000000;8560.0000000;600
NDMS-RM;60;23/09/20;17:00:00;8560.0000000;8983.0000000;8510.0000000;8515.0000000;1843
NDMS-RM;60;23/09/20;18:00:00;8539.0000000;8565.0000000;8490.0000000;8500.0000000;604
NDMS-RM;60;23/09/20;19:00:00;8500.0000000;8500.0000000;8400.0000000;8445.0000000;1635
NDMS-RM;60;23/09/20;20:00:00;8445.0000000;8460.0000000;8388.0000000;8460.0000000;220
NDMS-RM;60;23/09/20;21:00:00;8443.0000000;8445.0000000;8355.0000000;8369.0000000;634
NDMS-RM;60;23/09/20;22:00:00;8366.0000000;8366.0000000;8276.0000000;8293.0000000;2656
NDMS-RM;60;23/09/20;23:00:00;8297.0000000;8317.0000000;8240.0000000;8267.0000000;455
NDMS-RM;60;24/09/20;00:00:00;8262.0000000;8418.0000000;8243.0000000;8249.0000000;469
NDMS-RM;60;24/09/20;11:00:00;8250.0000000;8255.0000000;8182.0000000;8255.0000000;332
NDMS-RM;60;24/09/20;12:00:00;8251.0000000;8251.0000000;8211.0000000;8230.0000000;224
NDMS-RM;60;24/09/20;13:00:00;8221.0000000;8230.0000000;8193.0000000;8211.0000000;385
NDMS-RM;60;24/09/20;14:00:00;8211.0000000;8259.0000000;8210.0000000;8211.0000000;198
NDMS-RM;60;24/09/20;15:00:00;8212.0000000;8231.0000000;8183.0000000;8189.0000000;2824
NDMS-RM;60;24/09/20;16:00:00;8189.0000000;8190.0000000;8128.0000000;8141.0000000;451
NDMS-RM;60;24/09/20;17:00:00;8141.0000000;8418.0000000;8132.0000000;8400.0000000;1918
NDMS-RM;60;24/09/20;18:00:00;8404.0000000;8445.0000000;8339.0000000;8445.0000000;3189
NDMS-RM;60;24/09/20;19:00:00;8444.0000000;8491.0000000;8416.0000000;8452.0000000;3232
NDMS-RM;60;24/09/20;20:00:00;8452.0000000;8490.0000000;8386.0000000;8436.0000000;562
NDMS-RM;60;24/09/20;21:00:00;8436.0000000;8475.0000000;8430.0000000;8430.0000000;382
NDMS-RM;60;24/09/20;22:00:00;8430.0000000;8438.0000000;8339.0000000;8339.0000000;344
NDMS-RM;60;24/09/20;23:00:00;8337.0000000;8392.0000000;8307.0000000;8348.0000000;754
NDMS-RM;60;25/09/20;00:00:00;8348.0000000;8439.0000000;8348.0000000;8351.0000000;9
NDMS-RM;60;25/09/20;11:00:00;8548.0000000;8548.0000000;8366.0000000;8396.0000000;1053
NDMS-RM;60;25/09/20;12:00:00;8366.0000000;8371.0000000;8301.0000000;8354.0000000;925
NDMS-RM;60;25/09/20;13:00:00;8388.0000000;8388.0000000;8349.0000000;8352.0000000;305
NDMS-RM;60;25/09/20;14:00:00;8379.0000000;8380.0000000;8345.0000000;8360.0000000;179
NDMS-RM;60;25/09/20;15:00:00;8374.0000000;8421.0000000;8368.0000000;8420.0000000;846
NDMS-RM;60;25/09/20;16:00:00;8420.0000000;8480.0000000;8419.0000000;8480.0000000;229
NDMS-RM;60;25/09/20;17:00:00;8482.0000000;8530.0000000;8394.0000000;8530.0000000;3958
NDMS-RM;60;25/09/20;18:00:00;8529.0000000;8658.0000000;8529.0000000;8630.0000000;2434
NDMS-RM;60;25/09/20;19:00:00;8605.0000000;8690.0000000;8605.0000000;8609.0000000;1880
NDMS-RM;60;25/09/20;20:00:00;8609.0000000;8679.0000000;8609.0000000;8673.0000000;634
NDMS-RM;60;25/09/20;21:00:00;8673.0000000;8704.0000000;8660.0000000;8704.0000000;819
NDMS-RM;60;25/09/20;22:00:00;8699.0000000;8735.0000000;8699.0000000;8735.0000000;575
NDMS-RM;60;25/09/20;23:00:00;8740.0000000;8799.0000000;8737.0000000;8799.0000000;514
NDMS-RM;60;26/09/20;00:00:00;8790.0000000;8829.0000000;8759.0000000;8806.0000000;548
NDMS-RM;60;28/09/20;11:00:00;8806.0000000;8990.0000000;8806.0000000;8969.0000000;1172
NDMS-RM;60;28/09/20;12:00:00;8969.0000000;9001.0000000;8935.0000000;8991.0000000;726
NDMS-RM;60;28/09/20;13:00:00;8991.0000000;9020.0000000;8991.0000000;9013.0000000;895
NDMS-RM;60;28/09/20;14:00:00;9013.0000000;9047.0000000;9011.0000000;9040.0000000;411
NDMS-RM;60;28/09/20;15:00:00;9031.0000000;9073.0000000;9020.0000000;9066.0000000;1243
NDMS-RM;60;28/09/20;16:00:00;9066.0000000;9095.0000000;9043.0000000;9052.0000000;774
NDMS-RM;60;28/09/20;17:00:00;9059.0000000;9077.0000000;8914.0000000;8949.0000000;3015
NDMS-RM;60;28/09/20;18:00:00;8948.0000000;9016.0000000;8929.0000000;8946.0000000;1102
NDMS-RM;60;28/09/20;19:00:00;8946.0000000;8998.0000000;8946.0000000;8993.0000000;338
NDMS-RM;60;28/09/20;20:00:00;8978.0000000;9028.0000000;8952.0000000;9027.0000000;686
NDMS-RM;60;28/09/20;21:00:00;9027.0000000;9072.0000000;8999.0000000;9056.0000000;989
NDMS-RM;60;28/09/20;22:00:00;9065.0000000;9065.0000000;9004.0000000;9038.0000000;1005
NDMS-RM;60;28/09/20;23:00:00;9045.0000000;9086.0000000;9045.0000000;9086.0000000;586
NDMS-RM;60;29/09/20;00:00:00;9085.0000000;9098.0000000;9072.0000000;9098.0000000;532
NDMS-RM;60;29/09/20;11:00:00;9250.0000000;9250.0000000;9099.0000000;9160.0000000;1231
NDMS-RM;60;29/09/20;12:00:00;9161.0000000;9181.0000000;9110.0000000;9153.0000000;1339
NDMS-RM;60;29/09/20;13:00:00;9146.0000000;9151.0000000;9100.0000000;9114.0000000;1213
NDMS-RM;60;29/09/20;14:00:00;9114.0000000;9120.0000000;9036.0000000;9070.0000000;842
NDMS-RM;60;29/09/20;15:00:00;9070.0000000;9076.0000000;9040.0000000;9044.0000000;227
NDMS-RM;60;29/09/20;16:00:00;9040.0000000;9067.0000000;9030.0000000;9062.0000000;151
NDMS-RM;60;29/09/20;17:00:00;9062.0000000;9067.0000000;8941.0000000;8974.0000000;979
NDMS-RM;60;29/09/20;18:00:00;8979.0000000;9076.0000000;8979.0000000;9024.0000000;1391
NDMS-RM;60;29/09/20;19:00:00;9036.0000000;9056.0000000;9024.0000000;9032.0000000;94
NDMS-RM;60;29/09/20;20:00:00;9032.0000000;9033.0000000;9014.0000000;9020.0000000;191
NDMS-RM;60;29/09/20;21:00:00;9020.0000000;9037.0000000;8994.0000000;9032.0000000;268
NDMS-RM;60;29/09/20;22:00:00;9040.0000000;9042.0000000;9023.0000000;9040.0000000;97
NDMS-RM;60;29/09/20;23:00:00;9025.0000000;9040.0000000;8994.0000000;9010.0000000;344
NDMS-RM;60;30/09/20;00:00:00;9011.0000000;9076.0000000;9000.0000000;9000.0000000;34
NDMS-RM;60;30/09/20;11:00:00;8978.0000000;8979.0000000;8882.0000000;8899.0000000;314
NDMS-RM;60;30/09/20;12:00:00;8899.0000000;8909.0000000;8875.0000000;8880.0000000;288
NDMS-RM;60;30/09/20;13:00:00;8876.0000000;8876.0000000;8817.0000000;8855.0000000;826
NDMS-RM;60;30/09/20;14:00:00;8855.0000000;8887.0000000;8834.0000000;8887.0000000;202
NDMS-RM;60;30/09/20;15:00:00;8888.0000000;8894.0000000;8877.0000000;8890.0000000;126
NDMS-RM;60;30/09/20;16:00:00;8877.0000000;8927.0000000;8874.0000000;8915.0000000;88
NDMS-RM;60;30/09/20;17:00:00;8913.0000000;9000.0000000;8865.0000000;8999.0000000;261
NDMS-RM;60;30/09/20;18:00:00;9011.0000000;9049.0000000;8969.0000000;9015.0000000;696
NDMS-RM;60;30/09/20;19:00:00;9002.0000000;9054.0000000;8990.0000000;9040.0000000;210
NDMS-RM;60;30/09/20;20:00:00;9040.0000000;9080.0000000;9003.0000000;9003.0000000;207
NDMS-RM;60;30/09/20;21:00:00;9005.0000000;9080.0000000;9000.0000000;9070.0000000;90
NDMS-RM;60;30/09/20;22:00:00;9078.0000000;9100.0000000;9023.0000000;9050.0000000;1479
NDMS-RM;60;30/09/20;23:00:00;9054.0000000;9065.0000000;8951.0000000;9000.0000000;661
NDMS-RM;60;01/10/20;00:00:00;8975.0000000;9000.0000000;8962.0000000;8962.0000000;10
NDMS-RM;60;01/10/20;11:00:00;9049.0000000;9060.0000000;9016.0000000;9060.0000000;556
NDMS-RM;60;01/10/20;12:00:00;9060.0000000;9060.0000000;9002.0000000;9046.0000000;476
NDMS-RM;60;01/10/20;13:00:00;9046.0000000;9070.0000000;9046.0000000;9069.0000000;211
NDMS-RM;60;01/10/20;14:00:00;9073.0000000;9082.0000000;9060.0000000;9082.0000000;280
NDMS-RM;60;01/10/20;15:00:00;9070.0000000;9079.0000000;9055.0000000;9071.0000000;588
NDMS-RM;60;01/10/20;16:00:00;9069.0000000;9110.0000000;9054.0000000;9085.0000000;521
NDMS-RM;60;01/10/20;17:00:00;9085.0000000;9109.0000000;9005.0000000;9009.0000000;1012
NDMS-RM;60;01/10/20;18:00:00;9019.0000000;9067.0000000;9013.0000000;9034.0000000;869
NDMS-RM;60;01/10/20;19:00:00;9034.0000000;9050.0000000;9013.0000000;9024.0000000;179
NDMS-RM;60;01/10/20;20:00:00;9020.0000000;9026.0000000;8985.0000000;9021.0000000;836
NDMS-RM;60;01/10/20;21:00:00;9022.0000000;9048.0000000;9000.0000000;9015.0000000;879
NDMS-RM;60;01/10/20;22:00:00;9017.0000000;9040.0000000;8985.0000000;9036.0000000;1112
NDMS-RM;60;01/10/20;23:00:00;9029.0000000;9034.0000000;8990.0000000;9034.0000000;270
NDMS-RM;60;02/10/20;00:00:00;9037.0000000;9060.0000000;9018.0000000;9045.0000000;52
NDMS-RM;60;02/10/20;11:00:00;9000.0000000;9044.0000000;8551.0000000;8949.0000000;526
NDMS-RM;60;02/10/20;12:00:00;8949.0000000;8981.0000000;8908.0000000;8980.0000000;277
NDMS-RM;60;02/10/20;13:00:00;8974.0000000;8980.0000000;8876.0000000;8913.0000000;858
NDMS-RM;60;02/10/20;14:00:00;8913.0000000;8956.0000000;8891.0000000;8956.0000000;310
NDMS-RM;60;02/10/20;15:00:00;8936.0000000;8947.0000000;8865.0000000;8872.0000000;1347
NDMS-RM;60;02/10/20;16:00:00;8872.0000000;8950.0000000;8872.0000000;8912.0000000;2553
NDMS-RM;60;02/10/20;17:00:00;8899.0000000;8976.0000000;8850.0000000;8958.0000000;920
NDMS-RM;60;02/10/20;18:00:00;8964.0000000;9040.0000000;8958.0000000;9020.0000000;487
NDMS-RM;60;02/10/20;19:00:00;9040.0000000;9040.0000000;8869.0000000;8875.0000000;1683
NDMS-RM;60;02/10/20;20:00:00;8875.0000000;8955.0000000;8828.0000000;8937.0000000;1711
NDMS-RM;60;02/10/20;21:00:00;8911.0000000;8919.0000000;8872.0000000;8875.0000000;687
NDMS-RM;60;02/10/20;22:00:00;8911.0000000;8932.0000000;8865.0000000;8894.0000000;1511
NDMS-RM;60;02/10/20;23:00:00;8894.0000000;8912.0000000;8845.0000000;8845.0000000;707
NDMS-RM;60;03/10/20;00:00:00;8856.0000000;8866.0000000;8845.0000000;8866.0000000;220
NDMS-RM;60;05/10/20;11:00:00;8921.0000000;8929.0000000;8885.0000000;8922.0000000;458
NDMS-RM;60;05/10/20;12:00:00;8922.0000000;8970.0000000;8892.0000000;8955.0000000;2236
NDMS-RM;60;05/10/20;13:00:00;8955.0000000;8965.0000000;8945.0000000;8955.0000000;162
NDMS-RM;60;05/10/20;14:00:00;8964.0000000;9008.0000000;8964.0000000;9008.0000000;259
NDMS-RM;60;05/10/20;15:00:00;8999.0000000;8999.0000000;8978.0000000;8978.0000000;319
NDMS-RM;60;05/10/20;16:00:00;8977.0000000;8981.0000000;8963.0000000;8975.0000000;306
NDMS-RM;60;05/10/20;17:00:00;8975.0000000;8986.0000000;8940.0000000;8986.0000000;340
NDMS-RM;60;05/10/20;18:00:00;8986.0000000;9041.0000000;8985.0000000;9010.0000000;5987
NDMS-RM;60;05/10/20;19:00:00;9000.0000000;9040.0000000;9000.0000000;9028.0000000;225
NDMS-RM;60;05/10/20;20:00:00;9020.0000000;9052.0000000;9013.0000000;9045.0000000;2715
NDMS-RM;60;05/10/20;21:00:00;9046.0000000;9079.0000000;9016.0000000;9016.0000000;799
NDMS-RM;60;05/10/20;22:00:00;9015.0000000;9058.0000000;9015.0000000;9058.0000000;109
NDMS-RM;60;05/10/20;23:00:00;9060.0000000;9100.0000000;9060.0000000;9100.0000000;375
NDMS-RM;60;06/10/20;00:00:00;9106.0000000;9106.0000000;9082.0000000;9083.0000000;25
NDMS-RM;60;06/10/20;11:00:00;9084.0000000;9167.0000000;9069.0000000;9100.0000000;955
NDMS-RM;60;06/10/20;12:00:00;9110.0000000;9115.0000000;9093.0000000;9099.0000000;590
NDMS-RM;60;06/10/20;13:00:00;9095.0000000;9095.0000000;9075.0000000;9078.0000000;265
NDMS-RM;60;06/10/20;14:00:00;9078.0000000;9078.0000000;9049.0000000;9050.0000000;196
NDMS-RM;60;06/10/20;15:00:00;9047.0000000;9066.0000000;9026.0000000;9026.0000000;200
NDMS-RM;60;06/10/20;16:00:00;9026.0000000;9027.0000000;9000.0000000;9015.0000000;363
NDMS-RM;60;06/10/20;17:00:00;9015.0000000;9034.0000000;8940.0000000;8957.0000000;3229
NDMS-RM;60;06/10/20;18:00:00;8950.0000000;9008.0000000;8950.0000000;8973.0000000;800
NDMS-RM;60;06/10/20;19:00:00;8972.0000000;8972.0000000;8859.0000000;8883.0000000;972
NDMS-RM;60;06/10/20;20:00:00;8907.0000000;9006.0000000;8902.0000000;9000.0000000;469
NDMS-RM;60;06/10/20;21:00:00;8990.0000000;9016.0000000;8970.0000000;8977.0000000;435
NDMS-RM;60;06/10/20;22:00:00;8975.0000000;9040.0000000;8880.0000000;8932.0000000;611
NDMS-RM;60;06/10/20;23:00:00;8914.0000000;8923.0000000;8820.0000000;8882.0000000;1007
NDMS-RM;60;07/10/20;00:00:00;8882.0000000;8884.0000000;8851.0000000;8851.0000000;196
NDMS-RM;60;07/10/20;11:00:00;8949.0000000;8957.0000000;8925.0000000;8942.0000000;776
NDMS-RM;60;07/10/20;12:00:00;8942.0000000;8944.0000000;8909.0000000;8920.0000000;362
NDMS-RM;60;07/10/20;13:00:00;8920.0000000;8940.0000000;8911.0000000;8931.0000000;639
NDMS-RM;60;07/10/20;14:00:00;8922.0000000;8951.0000000;8916.0000000;8951.0000000;128
NDMS-RM;60;07/10/20;15:00:00;8943.0000000;8974.0000000;8939.0000000;8948.0000000;431
NDMS-RM;60;07/10/20;16:00:00;8942.0000000;8959.0000000;8941.0000000;8944.0000000;281
NDMS-RM;60;07/10/20;17:00:00;8941.0000000;9003.0000000;8940.0000000;8970.0000000;153
NDMS-RM;60;07/10/20;18:00:00;8975.0000000;8990.0000000;8939.0000000;8990.0000000;272
NDMS-RM;60;07/10/20;19:00:00;8991.0000000;9015.0000000;8971.0000000;8971.0000000;245
NDMS-RM;60;07/10/20;20:00:00;8971.0000000;8991.0000000;8940.0000000;8990.0000000;227
NDMS-RM;60;07/10/20;21:00:00;9000.0000000;9020.0000000;8993.0000000;9010.0000000;664
NDMS-RM;60;07/10/20;22:00:00;9010.0000000;9026.0000000;8996.0000000;9009.0000000;313
NDMS-RM;60;07/10/20;23:00:00;9000.0000000;9005.0000000;8970.0000000;8990.0000000;212
NDMS-RM;60;08/10/20;00:00:00;8993.0000000;8993.0000000;8965.0000000;8988.0000000;18
NDMS-RM;60;08/10/20;11:00:00;8988.0000000;9068.0000000;8988.0000000;9047.0000000;301
NDMS-RM;60;08/10/20;12:00:00;9033.0000000;9060.0000000;9033.0000000;9057.0000000;376
